FECHA;LATITUD;LONGITUD;PEATONES
2019-09-01;40,405367;-3,701798;37593.0
2019-09-01;40,409118;-3,692441;19012.0
2019-09-01;40,41110888;-3,696471467;2600.0
2019-09-01;40,41289138;-3,707464267;103710.0
2019-09-01;40,41338702;-3,697740186;20253.0
2019-09-01;40,41373441;-3,723947718;8134.0
2019-09-01;40,415111;-3,713569;134282.0
2019-09-01;40,41637598;-3,706029098;58825.0
2019-09-01;40,41664098;-3,701246554;14307.0
2019-09-01;40,418256;-3,697732;40052.0
2019-09-01;40,42015321;-3,70435898;40396.0
2019-09-01;40,4202703;-3,704325575;42839.0
2019-09-01;40,42107227;-3,70049043;8218.0
2019-09-01;40,42200905;-3,700891722;58588.0
2019-09-01;40,42380314;-3,707379398;2483.0
2019-09-01;40,42479893;-3,712094845;12366.0
2019-09-01;40,42695341;-3,69448847;6321.0
2019-09-01;40,43046926;-3,713297939;18321.0
2019-09-02;40,405367;-3,701798;68302.0
2019-09-02;40,409118;-3,692441;3331.0
2019-09-02;40,41110888;-3,696471467;3248.0
2019-09-02;40,41289138;-3,707464267;94591.0
2019-09-02;40,41338702;-3,697740186;18918.0
2019-09-02;40,41373441;-3,723947718;5122.0
2019-09-02;40,415111;-3,713569;97810.0
2019-09-02;40,41637598;-3,706029098;18306.0
2019-09-02;40,41664098;-3,701246554;11603.0
2019-09-02;40,418256;-3,697732;38854.0
2019-09-02;40,42015321;-3,70435898;53445.0
2019-09-02;40,4202703;-3,704325575;35893.0
2019-09-02;40,42107227;-3,70049043;6347.0
2019-09-02;40,42200905;-3,700891722;33776.0
2019-09-02;40,42380314;-3,707379398;2483.0
2019-09-02;40,42479893;-3,712094845;13306.0
2019-09-02;40,42695341;-3,69448847;14806.0
2019-09-02;40,43046926;-3,713297939;14437.0
2019-09-03;40,405367;-3,701798;68056.0
2019-09-03;40,409118;-3,692441;15508.0
2019-09-03;40,41110888;-3,696471467;3360.0
2019-09-03;40,41289138;-3,707464267;78822.0
2019-09-03;40,41338702;-3,697740186;19119.0
2019-09-03;40,41373441;-3,723947718;5126.0
2019-09-03;40,415111;-3,713569;93775.0
2019-09-03;40,41637598;-3,706029098;18536.0
2019-09-03;40,41664098;-3,701246554;14543.0
2019-09-03;40,418256;-3,697732;38218.0
2019-09-03;40,42015321;-3,70435898;56966.0
2019-09-03;40,4202703;-3,704325575;75599.0
2019-09-03;40,42107227;-3,70049043;8932.0
2019-09-03;40,42200905;-3,700891722;33471.0
2019-09-03;40,42380314;-3,707379398;2611.0
2019-09-03;40,42479893;-3,712094845;12307.0
2019-09-03;40,42695341;-3,69448847;15283.0
2019-09-03;40,43046926;-3,713297939;14774.0
2019-09-04;40,405367;-3,701798;83781.0
2019-09-04;40,409118;-3,692441;10223.0
2019-09-04;40,41110888;-3,696471467;3065.0
2019-09-04;40,41289138;-3,707464267;81980.0
2019-09-04;40,41338702;-3,697740186;18247.0
2019-09-04;40,41373441;-3,723947718;4934.0
2019-09-04;40,415111;-3,713569;95804.0
2019-09-04;40,41637598;-3,706029098;19225.0
2019-09-04;40,41664098;-3,701246554;18109.0
2019-09-04;40,418256;-3,697732;38176.0
2019-09-04;40,42015321;-3,70435898;36452.0
2019-09-04;40,4202703;-3,704325575;24311.0
2019-09-04;40,42107227;-3,70049043;9329.0
2019-09-04;40,42200905;-3,700891722;33409.0
2019-09-04;40,42380314;-3,707379398;2766.0
2019-09-04;40,42479893;-3,712094845;12420.0
